id,data
1959,179.4922
1960,179.2602
1961,172.6785
1962,163.4006
1963,169.3364
1964,168.6497
1965,167.3682
1966,169.2893
1967,167.9132
1968,160.7487
1969,157.6397
1970,174.4224
1971,145.6367
1972,169.0686
1973,168.2555
1974,167.1952
1975,163.8962
1976,155.3317
1977,165.1503
1978,137.1017
1979,167.5942
1980,151.9682
1981,125.8841
1982,136.4032
1983,153.5088
1984,166
1985,174.6191
1986,175.0473
1987,173.1017
1988,163.9802
1989,158.2461
1990,151.3484
1991,167.2809
1992,166.1957
1993,160.0473
1994,161.6482
1995,160.4394
1996,149.9377
1997,143.0204
1998,159.1953
1999,161.9081
2000,164.4705
2001,160.2797
2002,164.1992
2003,152.4371
2004,146.787
2005,159.5158
2006,157.8091
2007,162.0622
2008,157.9664
2009,151.6524
2010,145.6321
2011,143.5002
2012,158.5958
2013,155.7859
2014,160.8439
2015,160.1486
2016,152.7307
2017,142.6984
2018,136.4387
2019,152.913
2020,150.316
2021,145.7844
2022,146.282
2023,147.2743
2024,139.006
2025,134.804
2026,152.9151
2027,153.8786
2028,152.5677
2029,155.9276
2030,154.496
2031,145.918
2032,144.529
2033,155.8109
2034,162.4993
2035,159.5497
2036,161.4156
2037,155.9851
2038,153.4149
2039,131.4262
2040,142.9663
2041,154.2855
2042,154.5109
2043,151.1928
2044,145.7571
2045,136.722
2046,131.525
2047,145.6636
2048,145.136
2049,145.0896
2050,141.8874
2051,132.9847
2052,127.6032
2053,124.4737
2054,129.5815
2055,140.2316
2056,148.2217
2057,148.2869
2058,138.5348
2059,142.1292
2060,138.3588
2061,142.4841
2062,148.8719
2063,152.0865
2064,157.2301
2065,162.9201
2066,161.8154
2067,157.2148
2068,166.5244
2069,174.9017
2070,182.8533
2071,184.3047
2072,186.423
2073,175.6591
2074,172.3874
2075,187.011
2076,192.3995
2077,186.6375
2078,194.6054
2079,164.7766
2080,116.8147
2081,151.1946
2082,180.6842
2083,185.4384
2084,186.9416
2085,194.9526
2086,184.8141
2087,175.0645
2088,177.182
2089,189.6668
2090,175.9027
2091,188.3969
2092,197.1534
2093,194.2778
2094,199.1399
2095,190.2939
2096,205.4989
2097,203.7206
2098,205.2178
2099,196.5736
2100,155.9719
2101,106.8516
2102,106.7788
2103,111.0063
2104,135.1677
2105,153.1031
2106,166.8764
2107,177.1587
2108,180.17
2109,186.8844
2110,195.0401
2111,195.3629
2112,189.4581
2113,185.1932
2114,183.7076
2115,173.1509
2116,167.0344
2117,181.8982
2118,180.0625
2119,180.9262
2120,176.6662
2121,172.8099
2122,166.3915
2123,162.4851
2124,184.1119
2125,189.9191
2126,186.5774
2127,185.9568
2128,181.847
2129,172.2289
2130,161.7609
2131,175.1299
2132,179.0751
2133,187.3246
2134,190.9884
2135,184.7649
2136,175.2736
2137,167.0851
2138,181.3233
2139,183.6843
2140,182.4699
2141,178.057
2142,174.2947
2143,167.4958
2144,167.5869
2145,185.793
2146,192.5098
2147,189.7596
2148,188.4981
2149,185.3546
2150,180.0672
2151,174.0097
2152,181.4481
2153,182.9164
2154,191.5548
2155,192.6867
2156,192.0977
2157,180.614
2158,163.6595
2159,166.4748
2160,185.3449
2161,201.6372
2162,218.2838
2163,213.9614
2164,210.715
2165,207.9567
2166,220.807
2167,223.459
2168,231.592
2169,222.5022
2170,215.4065
2171,220.4015
2172,225.8379
2173,245.4824
2174,244.4203
2175,246.8879
2176,240.2407
2177,241.2436
2178,245.0516
2179,234.2277
2180,233.2236
2181,224.9072
2182,220.8511
2183,229.5041
2184,227.5674
2185,224.9547
2186,223.045
2187,234.4447
2188,237.437
2189,234.7515
2190,242.6862
2191,230.1416
2192,208.3957
2193,193.2995
2194,218.1291
2195,228.6826
2196,233.7493
2197,228.7916
2198,218.5427
2199,210.3962
2200,204.7589
2201,209.448
2202,212.7912
2203,200.9061
2204,183.65
2205,169.4566
2206,189.4205
2207,208.4584
2208,196.0253
2209,184.0116
2210,181.3054
2211,170.245
2212,161.7711
2213,148.9285
2214,122.6995
2215,132.2461
2216,148.782
2217,160.9944
2218,168.9177
2219,181.4327
2220,193.4125
2221,196.6885
2222,205.9759
2223,204.494
2224,207.6699
2225,223.263
2226,222.7722
2227,215.7792
2228,210.8695
2229,221.653
2230,226.292
2231,233.854
2232,234.2663
2233,232.957
2234,225.2279
2235,219.934
2236,244.7489
2237,248.4519
2238,239.1975
2239,230.1304
2240,221.6412
2241,211.612
2242,213.2998
2243,221.7155
2244,236.2722
2245,239.1779
2246,240.9242
2247,233.8829
2248,226.8309
2249,222.6617
2250,234.6996
2251,221.1137
2252,214.3457
2253,216.7852
2254,214.8587
2255,201.4802
2256,195.2509
2257,200.6876
2258,200.9298
2259,199.0382
2260,188.7157
2261,184.0371
2262,175.4624
2263,184.5796
2264,197.2522
2265,193.2875
2266,194.7629
2267,197.0726
2268,199.0413
2269,192.7534
2270,187.0062
2271,195.3267
2272,197.7448
2273,199.5556
