url,TFTID,armor,attack,attackData,attackMag,attackRange,attackSpeed,chessId,crit,displayName,illustrate,jobIds,jobs,life,lifeData,lifeMag,magic,name,originalImage,price,proStatus,raceIds,races,recEquip,skillDetail,skillImage,skillIntroduce,skillName,skillType,spellBlock,startMagic,synergies,title,...
99998,760,20,0,0/0/0,0,0,0.6,99998,25,玉猫雕像,,7201,召唤物,0,0/0/0,1.8,0,760.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/nuomuxihuoqiu.png,0,无,7104,玉龙,,玉猫雕像,https://game.gtimg.cn/images/lol/act/img/tft/champions/nuomuxihuoqiu.png,玉猫雕像,玉猫雕像,主动,20,0,,玉龙召唤物,{}
78301,783,50,85,85/153/275.4,1.8,1,0.75,78301,25,呲呲,,7015,龙神,800,800/1440/2592,1.8,70,783.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/Zippy_1660875544-SkaarlSquare.png,6,无,7103,冒险家,"529,595,543",【呲呲】自身获得持续2秒的375/450/650护盾值并朝着生命值百分比最高的敌人翻滚，造成基于他400/425/600%攻击力的物理伤害，并将其略微击退。,https://game.gtimg.cn/images/lol/act/img/tft/champions/Zippy_1660875544-SkaarlSquare.png,【呲呲】自身获得持续2秒的375/450/650护盾值并朝着生命值百分比最高的敌人翻滚，造成基于他400/425/600%攻击力的物理伤害，并将其略微击退。,翻滚突袭,主动,50,20,,冒险龙神,{}
77901,779,70,80,80/144/259.2,1.8,1,0.65,77901,25,泰拉,,7015,龙神,1200,1200/2160/3888,1.8,80,779.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/Terra_1660872449-taliyah_e.png,8,无,7117,巨岩龙,"589,581,583",【泰拉】猛踏三次，在祂附近引发一次地震，造成祂150% / 200% / 4000%的护甲和魔抗综合，外加祂200%攻击力的物理伤害。在地震结束时，【泰拉】的龙鳞会硬化8秒，提供150 / 200 / 4000护甲和魔抗。,https://game.gtimg.cn/images/lol/act/img/tft/champions/Terra_1660872449-taliyah_e.png,【泰拉】猛踏三次，在祂附近引发一次地震，造成祂150% / 200% / 4000%的护甲和魔抗综合，外加祂200%攻击力的物理伤害。在地震结束时，【泰拉】的龙鳞会硬化8秒，提供150 / 200 / 4000护甲和魔抗。,地震,主动,70,40,,巨岩龙神,{}
77601,776,50,30,30/54/97.2,1.8,4,0.75,77601,25,索姆,,"7015,7010","龙神,法师",800,800/1440/2592,1.8,40,776.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/Sohm_1660816993-nilahq.nilah.png,7,无,7116,碧波龙,"567,535,565","【索姆】向一个未被标记的目标释放一道浪潮，使其带上【潮涌】标记，并对途经的敌人们造成165/225/600魔法伤害。如果目标敌人阵亡，那么【潮涌】标记会转移给一名附近的目标。在【索姆】施放3次技能后，他的下一次施放会转而在每个【潮涌】标记底下召唤一个漩涡，对区域中的敌人们造成300/420/1500
魔法伤害。",https://game.gtimg.cn/images/lol/act/img/tft/champions/Sohm_1660816993-nilahq.nilah.png,"【索姆】向一个未被标记的目标释放一道浪潮，使其带上【潮涌】标记，并对途经的敌人们造成165/225/600魔法伤害。如果目标敌人阵亡，那么【潮涌】标记会转移给一名附近的目标。在【索姆】施放3次技能后，他的下一次施放会转而在每个【潮涌】标记底下召唤一个漩涡，对区域中的敌人们造成300/420/1500
魔法伤害。",潮涌,主动,50,0,,碧波龙神,{}
77003,786,40,60,60/108/194.4,1.8,3,0.75,77003,25,诺姆希,,"7015,7010","龙神,法师",600,600/1080/1944,1.8,100,786.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/nomsyability.png,6,无,7118,龙族小天才,"535,565,525","【诺姆希】发出低啸，对一个随机敌人抛出一颗大型火球，在命中敌人后爆炸，对1格内的敌人们造成210/300/480魔法伤害，并弹射额外的多个火球给范围外的敌人们，造成30% / 35% / 40%的伤害。
",https://game.gtimg.cn/images/lol/act/img/tft/champions/nomsyability.png,"【诺姆希】发出低啸，对一个随机敌人抛出一颗大型火球，在命中敌人后爆炸，对1格内的敌人们造成210/300/480魔法伤害，并弹射额外的多个火球给范围外的敌人们，造成30% / 35% / 40%的伤害。
",火球！,主动,40,50,,龙族小天才,{}
77002,785,40,60,60/108/194.4,1.8,3,0.75,77002,25,诺姆希,,"7015,7007","龙神,魔导师",600,600/1080/1944,1.8,100,785.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/nomsyability.png,6,无,7118,龙族小天才,"535,565,525","【诺姆希】发出低啸，对一个随机敌人抛出一颗大型火球，在命中敌人后爆炸，对1格内的敌人们造成210/300/480魔法伤害，并弹射额外的多个火球给范围外的敌人们，造成30% / 35% / 40%的伤害。
",https://game.gtimg.cn/images/lol/act/img/tft/champions/nomsyability.png,"【诺姆希】发出低啸，对一个随机敌人抛出一颗大型火球，在命中敌人后爆炸，对1格内的敌人们造成210/300/480魔法伤害，并弹射额外的多个火球给范围外的敌人们，造成30% / 35% / 40%的伤害。
",火球！,主动,40,50,,龙族小天才,{}
77001,770,40,60,60/108/194.4,1.8,3,0.75,77001,25,诺姆希,,"7015,7004","龙神,强袭炮手",600,600/1080/1944,1.8,100,770.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/Nomsy_1660816465-brandpyroclasm.png,6,无,7118,龙族小天才,"535,565,525","【诺姆希】发出低啸，对一个随机敌人抛出一颗大型火球，在命中敌人后爆炸，对1格内的敌人们造成210/300/480魔法伤害，并弹射额外的多个火球给范围外的敌人们，造成30% / 35% / 40%的伤害。
",https://game.gtimg.cn/images/lol/act/img/tft/champions/Nomsy_1660816465-brandpyroclasm.png,"【诺姆希】发出低啸，对一个随机敌人抛出一颗大型火球，在命中敌人后爆炸，对1格内的敌人们造成210/300/480魔法伤害，并弹射额外的多个火球给范围外的敌人们，造成30% / 35% / 40%的伤害。
",火球！,主动,40,50,,龙族小天才,{}
13601,703,50,60,60/90/135,1.5,4,0.8,13601,25,敖兴,,7015,龙神,1000,1000/1800/3240,1.8,200,703.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/ao-shin-lightning-rain.png,8,无,7112,风暴龙,"555,523,525",【敖兴】发射一团由20道闪电组成的弹幕，来打击随机的敌人们。每次打击造成185/275/2000魔法伤害并从他的目标处汲取10法力值。,https://game.gtimg.cn/images/lol/act/img/tft/champions/ao-shin-lightning-rain.png,【敖兴】发射一团由20道闪电组成的弹幕，来打击随机的敌人们。每次打击造成185/275/2000魔法伤害并从他的目标处汲取10法力值。,闪电暴雨,主动,50,0,,星界龙神,{}
10202,744,70,110,110/198/356.4,1.8,1,0.7,10202,25,赛芬,,"7015,7003","龙神,格斗家",1850,1850/3330/5994,1.8,160,744.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/syfen-rampage.png,7,无,7114,幽影龙,"529,595,543","【赛芬】朝2.5格内相距最远的敌人进行冲锋，对沿途的敌人们造成基于他攻击力150% / 170% / 450%的物理伤害和击飞效果。
在冲锋后，【赛芬】会噬咬一名敌人且不再能被闪避，造成基于他攻击力475% / 550% / 2500%的物理伤害并无视目标的33%护甲值。",https://game.gtimg.cn/images/lol/act/img/tft/champions/syfen-rampage.png,"【赛芬】朝2.5格内相距最远的敌人进行冲锋，对沿途的敌人们造成基于他攻击力150% / 170% / 450%的物理伤害和击飞效果。
在冲锋后，【赛芬】会噬咬一名敌人且不再能被闪避，造成基于他攻击力475% / 550% / 2500%的物理伤害并无视目标的33%护甲值。",暴走,主动,70,90,,幽影龙神,{}
10201,716,60,80,80/144/259.2,1.8,1,0.55,10201,25,艾达丝,,"7015,7008","龙神,护卫",1100,1100/1980/3564,1.8,150,716.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/idas-golden-scales.png,7,无,"7102,7109",",金鳞龙","589,581,583",【艾达丝】硬化她的龙鳞2秒，使即将到来的伤害降低30/50/300。之后她会发出龙啸，为她自身治疗450/600/3000生命值并为其他友军提供持续5秒的150/250/1200护盾值。护盾会在持续时提供30%攻击速度。,https://game.gtimg.cn/images/lol/act/img/tft/champions/idas-golden-scales.png,【艾达丝】硬化她的龙鳞2秒，使即将到来的伤害降低30/50/300。之后她会发出龙啸，为她自身治疗450/600/3000生命值并为其他友军提供持续5秒的150/250/1200护盾值。护盾会在持续时提供30%攻击速度。,黄金龙鳞,主动,60,80,,金鳞龙神,{}
